Name;NSta;NGroup;NRawSlotNum;TCPSegmentSize;IPCameraDataRate;DataMode;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate32Nsta5DataModeMCS2_8;5;4;1;3216;32;MCS2_8;0;1;933.6;928.6;2936.6
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate48Nsta10DataModeMCS2_4;10;4;1;3216;48;MCS2_4;0;1;2416;2190.9;4542
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate48Nsta10DataModeMCS2_8;10;4;1;3216;48;MCS2_8;0;1;1956.8;1907.2;4899.9
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate48Nsta15DataModeMCS2_4;15;4;1;3216;48;MCS2_4;0;1;2660.13333333333;2160.93333333333;3738.4
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate48Nsta15DataModeMCS2_8;15;4;1;3216;48;MCS2_8;0;1;3040.46666666667;2716.06666666667;4859.13333333333
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate48Nsta5DataModeMCS2_4;5;4;1;3216;48;MCS2_4;0;1;1504.6;1470;4511.8
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate48Nsta5DataModeMCS2_8;5;4;1;3216;48;MCS2_8;0;1;1504.2;1472;4504.4
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate4Nsta10DataModeMCS2_4;10;4;1;3216;4;MCS2_4;0;1;155.7;154.9;409.6
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate4Nsta10DataModeMCS2_8;10;4;1;3216;4;MCS2_8;0;1;136.4;136.3;390.3
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate4Nsta15DataModeMCS2_4;15;4;1;3216;4;MCS2_4;0;1;210.466666666667;209.2;466.133333333333
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate4Nsta15DataModeMCS2_8;15;4;1;3216;4;MCS2_8;0;1;199.133333333333;197.533333333333;453.466666666667
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_4;5;4;1;3216;4;MCS2_4;0;1;112;112;366
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;1;3216;4;MCS2_8;0;1;118.2;118.2;372.2
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;1;3216;64;MCS2_4;0;1;2761.2;2209;4580.6
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate64Nsta10DataModeMCS2_8;10;4;1;3216;64;MCS2_8;0;1;3003.4;2820.8;6238.3
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate64Nsta15DataModeMCS2_8;15;4;1;3216;64;MCS2_8;0;1;3386.46666666667;2737.73333333333;4884.53333333333
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate64Nsta5DataModeMCS2_4;5;4;1;3216;64;MCS2_4;0;1;1984;1931.8;5874.6
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate64Nsta5DataModeMCS2_8;5;4;1;3216;64;MCS2_8;0;1;1986;1932.2;5865.6
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate8Nsta10DataModeMCS2_4;10;4;1;3216;8;MCS2_4;0;1;310.1;307.9;814.6
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate8Nsta10DataModeMCS2_8;10;4;1;3216;8;MCS2_8;0;1;274;273.9;776.9
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate8Nsta15DataModeMCS2_4;15;4;1;3216;8;MCS2_4;0;1;422.533333333333;419.8;927.533333333333
NGroup4NRawSlotNum1TCPSegmentSize3216IpCameraDataRate8Nsta15DataModeMCS2_8;15;4;1;3216;8;MCS2_8;0;1;385.466666666667;382.6;889.4
