Name;NSta;NGroup;NRawSlotNum;TCPSegmentSize;IPCameraDataRate;DataMode;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;DropTCPTxBufferExceeded
NGroup1NRawSlotNum5TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;5;536;96;MCS2_4;0;1;12999.3;11023.5;47260.1;51;1454.2;5
NGroup2NRawSlotNum5TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;5;536;96;MCS2_4;0;1;8652.9;6028;24968.3;37.8;19444.5;1419.4
NGroup4NRawSlotNum5TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;5;536;96;MCS2_4;0;1;6322.9;3125.5;13025.9;25.1;39153.4;2218.9
NGroup8NRawSlotNum5TCPSegmentSize536IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;5;536;96;MCS2_4;89.5;1;4676;1580.3;6567.5;102.5;77181.5;2604.8
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;1;1072;96;MCS2_4;0;1;22698.4;22375;40830.9;74.4;184.7;21.5
NGroup2NRawSlotNum1TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;1;1072;96;MCS2_4;0;1;9520.2;8213;20396.2;0;5202.6;975.1
NGroup4NRawSlotNum1TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;1;1072;96;MCS2_4;0;1;5662.9;3500.3;9868.4;0;11995.2;1981.2
NGroup8NRawSlotNum1TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;1;1072;96;MCS2_4;0;1;4191.1;1616.4;4939.5;0;27112.3;2490.2
NGroup1NRawSlotNum2TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;2;1072;96;MCS2_4;0;1;8292.8;8019.4;26305.4;12.6;95.6;0
NGroup2NRawSlotNum2TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;2;1072;96;MCS2_4;0;1;8780.2;7456.4;21169.7;0;12594.1;774.6
NGroup4NRawSlotNum2TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;2;1072;96;MCS2_4;0;1;6152;3864.8;10931.9;0;28801.3;1910.7
NGroup8NRawSlotNum2TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;2;1072;96;MCS2_4;21.7;1;4602.9;1963.4;5578.1;21.7;57014.8;2450.5
NGroup1NRawSlotNum5TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;5;1072;96;MCS2_4;0;1;6432.9;5910.2;24171.8;24;88.9;0
NGroup2NRawSlotNum5TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;5;1072;96;MCS2_4;0;1;7108.1;5334.4;18395.2;29.9;13361.2;885.6
NGroup4NRawSlotNum5TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;5;1072;96;MCS2_4;0;1;5655.1;2825.8;9470.9;7.8;29840.3;1973.8
NGroup8NRawSlotNum5TCPSegmentSize1072IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;5;1072;96;MCS2_4;26.4;1;4360.3;1440.5;4814.3;34.4;59165;2483
NGroup1NRawSlotNum1TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;1;1608;96;MCS2_4;0;1;18038;17765.9;32229.1;49.7;196.5;21.6
NGroup2NRawSlotNum1TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;1;1608;96;MCS2_4;0;1;8243.4;7306.2;17511.7;0;2770.1;677.5
NGroup4NRawSlotNum1TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;1;1608;96;MCS2_4;0;1;4619;2689.1;7978.4;0;7284.7;1792.7
NGroup8NRawSlotNum1TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;1;1608;96;MCS2_4;0;1;3765.9;1294.1;4013.7;0;20200.5;2397.8
NGroup1NRawSlotNum2TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;2;1608;96;MCS2_4;0;1;7559.2;7073.1;21708.7;6.3;102.2;0
NGroup2NRawSlotNum2TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;2;1608;96;MCS2_4;0;1;7752.6;6745.3;18142.6;0;10355.3;490.8
NGroup4NRawSlotNum2TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;2;1608;96;MCS2_4;0;1;5506.1;3422.7;8962;0;24775.7;1746
NGroup8NRawSlotNum2TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;2;1608;96;MCS2_4;3.6;1;4272.5;1735.2;4558.9;3.6;49138.9;2365.5
NGroup1NRawSlotNum5TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;5;1608;96;MCS2_4;0;1;6379.1;5488.9;19960.8;7.9;102;0
NGroup2NRawSlotNum5TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;5;1608;96;MCS2_4;0;1;6667.7;5058.4;14986.8;22.1;12527.3;783.5
NGroup4NRawSlotNum5TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;5;1608;96;MCS2_4;0;1;5171.6;2648.3;7276.7;12;29118.9;1930.6
NGroup8NRawSlotNum5TCPSegmentSize1608IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;5;1608;96;MCS2_4;15.2;1;4104.4;1346.1;3699.7;20.4;57441;2458.8
NGroup1NRawSlotNum1TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;1;2144;96;MCS2_4;0;1;9462.1;9436.3;18607.9;11.1;124.1;0
NGroup2NRawSlotNum1TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;1;2144;96;MCS2_4;0;1;7867;7204.2;15593.8;0;2352.3;445
NGroup4NRawSlotNum1TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;1;2144;96;MCS2_4;0;1;4551.8;2758.6;7234;0;5110.7;1686.2
NGroup8NRawSlotNum1TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;1;2144;96;MCS2_4;0;1;3775.4;1366;3604.2;0;17544.5;2348.6
NGroup1NRawSlotNum2TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;2;2144;96;MCS2_4;0;1;5122.9;5088;14206;4.9;122;0
NGroup2NRawSlotNum2TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;2;2144;96;MCS2_4;0;1;6462.7;5915;14894.9;0;6978.1;212.4
NGroup4NRawSlotNum2TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;2;2144;96;MCS2_4;0;1;5095.8;3143.1;7704.9;0;23051.3;1644.8
NGroup8NRawSlotNum2TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;2;2144;96;MCS2_4;0;1;4076.3;1604.5;3911.2;0;45296.3;2315.3
NGroup1NRawSlotNum5TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;5;2144;96;MCS2_4;0;1;4756.3;4591.1;13775.3;0;102.6;0
NGroup2NRawSlotNum5TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;5;2144;96;MCS2_4;0;1;6525;4975;12923.6;15.5;10662.3;560
NGroup4NRawSlotNum5TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;4;5;2144;96;MCS2_4;0;1;5489.5;2672.5;6731.9;10;25209.8;1805.8
NGroup8NRawSlotNum5TCPSegmentSize2144IpCameraDataRate96Nsta10DataModeMCS2_4;10;8;5;2144;96;MCS2_4;5.5;1;4266.8;1357.2;3438.4;10.2;49750.2;2393.6
NGroup1NRawSlotNum1TCPSegmentSize2680IpCameraDataRate96Nsta10DataModeMCS2_4;10;1;1;2680;96;MCS2_4;0;1;15519.7;15477.2;27712;24.2;160.6;0
NGroup2NRawSlotNum1TCPSegmentSize2680IpCameraDataRate96Nsta10DataModeMCS2_4;10;2;1;2680;96;MCS2_4;0;1;9682.8;8733.1;18524;0;12181.7;739.3
